id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
68366859,,3600.0,3600.0,3600.0, 36 months,13.44,122.07,C,C3,Graduate Student ,1 year,RENT,25000.0,Source Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68366859,,debt_consolidation,Debt consolidation,191xx,PA,26.45,0.0,Jun-2007,710.0,714.0,0.0,,,23.0,0.0,4419.0,30.7,39.0,w,0.0,0.0,4280.1895470053005,4280.19,3600.0,680.19,0.0,0.0,0.0,Dec-2017,1601.37,,Jul-2018,679.0,675.0,0.0,,1.0,Individual,,,,0.0,0.0,78735.0,2.0,14.0,2.0,4.0,4.0,74316.0,97.0,1.0,3.0,1547.0,86.0,14400.0,1.0,4.0,0.0,7.0,3579.0,2651.0,49.0,0.0,0.0,94.0,102.0,6.0,4.0,0.0,6.0,,19.0,,0.0,2.0,3.0,3.0,5.0,27.0,9.0,12.0,3.0,23.0,0.0,0.0,0.0,3.0,100.0,33.3,0.0,0.0,91319.0,78735.0,5200.0,76919.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68537368,,10000.0,10000.0,10000.0, 36 months,9.8,321.74,B,B3,Quality Assurance Wings,10+ years,MORTGAGE,92000.0,Source Verified,2015-12-01,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68537368,,debt_consolidation,Debt consolidation,980xx,WA,10.55,1.0,Aug-1996,680.0,684.0,0.0,15.0,,8.0,0.0,9560.0,54.6,27.0,w,0.0,0.0,6796.55,6796.55,4906.57,1192.88,16.09,681.01,122.5818,Aug-2017,321.74,,Jan-2018,639.0,635.0,0.0,34.0,1.0,Individual,,,,0.0,207.0,182684.0,0.0,1.0,0.0,0.0,36.0,11355.0,48.0,1.0,1.0,7340.0,51.0,17500.0,1.0,4.0,5.0,2.0,26098.0,5440.0,63.7,0.0,0.0,232.0,158.0,12.0,12.0,5.0,12.0,24.0,0.0,15.0,1.0,2.0,2.0,2.0,10.0,6.0,6.0,16.0,2.0,8.0,0.0,0.0,0.0,1.0,85.2,0.0,0.0,0.0,205932.0,20915.0,15000.0,23698.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68465272,,14000.0,14000.0,14000.0, 60 months,19.48,366.88,E,E2,foreman pipe fitter ,10+ years,RENT,115000.0,Source Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68465272,,debt_consolidation,Debt consolidation,940xx,CA,13.36,0.0,Jan-2007,660.0,664.0,0.0,64.0,,7.0,0.0,4916.0,48.2,11.0,f,0.0,0.0,17138.8123921472,17138.81,14000.0,3138.81,0.0,0.0,0.0,May-2017,503.5,,Jul-2017,634.0,630.0,0.0,,1.0,Individual,,,,0.0,0.0,38073.0,1.0,3.0,3.0,4.0,7.0,33157.0,90.0,1.0,4.0,1506.0,81.0,10200.0,0.0,0.0,0.0,8.0,5439.0,471.0,88.8,0.0,0.0,101.0,107.0,6.0,6.0,0.0,6.0,,18.0,,0.0,3.0,4.0,3.0,4.0,6.0,4.0,5.0,4.0,7.0,0.0,0.0,0.0,4.0,90.9,66.7,0.0,0.0,47151.0,38073.0,4200.0,36951.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68072793,,35000.0,35000.0,35000.0, 60 months,10.78,757.16,B,B4,National Sales Manager,10+ years,MORTGAGE,140000.0,Verified,2015-12-01,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68072793,,credit_card,Credit card refinancing,284xx,NC,16.46,0.0,Jan-1999,745.0,749.0,0.0,,,9.0,0.0,26981.0,44.0,30.0,w,16885.85,16885.85,26951.36,26951.36,18114.15,8837.21,0.0,0.0,0.0,Feb-2019,757.16,Apr-2019,Feb-2019,714.0,710.0,0.0,,1.0,Individual,,,,0.0,0.0,474040.0,0.0,3.0,0.0,2.0,16.0,47809.0,60.0,0.0,0.0,14334.0,44.0,61400.0,0.0,0.0,0.0,2.0,52671.0,15350.0,44.0,0.0,0.0,129.0,203.0,98.0,16.0,8.0,98.0,,16.0,,0.0,4.0,4.0,11.0,11.0,8.0,4.0,14.0,4.0,9.0,,0.0,0.0,0.0,100.0,50.0,0.0,0.0,566628.0,82886.0,61400.0,79670.0,,,,,,,,,,,,,,N,INTEREST ONLY-3 MONTHS DEFERRAL,NATURAL_DISASTER,COMPLETED,3.0,167.72,Sep-2018,Dec-2018,Sep-2018,3.0,0.0,Current,503.16,18804.27,756.87,Cash,N,,,,,,
68416579,,4600.0,4600.0,4600.0, 36 months,11.99,152.77,C,C1,,,RENT,14688.0,Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68416579,,credit_card,Credit card refinancing,333xx,FL,14.79,0.0,Mar-2003,670.0,674.0,1.0,74.0,65.0,10.0,1.0,3810.0,31.5,26.0,w,0.0,0.0,5498.248781160601,5498.25,4600.0,898.25,0.0,0.0,0.0,Dec-2018,304.07,,Mar-2019,729.0,725.0,0.0,74.0,1.0,Individual,,,,0.0,75.0,14395.0,3.0,3.0,0.0,0.0,43.0,10585.0,111.0,3.0,3.0,1379.0,67.0,12100.0,0.0,0.0,1.0,3.0,1440.0,3621.0,27.6,0.0,0.0,153.0,139.0,1.0,1.0,2.0,4.0,,2.0,,0.0,1.0,4.0,2.0,7.0,9.0,7.0,15.0,4.0,10.0,0.0,0.0,0.0,3.0,95.2,0.0,1.0,0.0,21600.0,14395.0,5000.0,9500.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68516426,,9975.0,9975.0,9975.0, 36 months,23.13,386.81,F,F2,Staff Bookkeeper,9 years,OWN,31200.0,Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68516426,,other,Other,920xx,CA,21.14,0.0,May-1981,685.0,689.0,0.0,,,10.0,0.0,9075.0,35.6,12.0,w,0.0,0.0,13955.745953523001,13955.75,9975.0,3980.75,0.0,0.0,0.0,Jan-2019,386.61,,Jan-2019,749.0,745.0,0.0,,1.0,Individual,,,,0.0,399.0,25019.0,1.0,1.0,1.0,1.0,1.0,15944.0,100.0,0.0,0.0,4184.0,60.0,25500.0,0.0,1.0,0.0,1.0,2502.0,7347.0,54.1,0.0,0.0,1.0,415.0,35.0,1.0,0.0,35.0,,,,0.0,4.0,5.0,5.0,5.0,1.0,9.0,11.0,5.0,10.0,0.0,0.0,0.0,1.0,100.0,40.0,0.0,0.0,41444.0,25019.0,16000.0,15944.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68366171,,19200.0,19200.0,19200.0, 60 months,18.99,497.96,E,E1,Senior Project Manager,10+ years,OWN,113000.0,Source Verified,2015-12-01,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68366171,,debt_consolidation,Debt consolidation,193xx,PA,23.81,0.0,Jun-2001,665.0,669.0,1.0,24.0,,16.0,0.0,25878.0,79.9,49.0,w,0.0,0.0,5703.84,5703.84,1641.75,2291.29,0.0,1770.8,318.744,Sep-2016,497.96,,Mar-2019,579.0,575.0,0.0,69.0,1.0,Individual,,,,0.0,0.0,404337.0,1.0,4.0,0.0,2.0,16.0,43501.0,65.0,3.0,5.0,5497.0,70.0,32400.0,2.0,4.0,5.0,7.0,26956.0,5649.0,79.6,0.0,0.0,119.0,174.0,6.0,6.0,6.0,6.0,24.0,1.0,24.0,1.0,7.0,10.0,7.0,17.0,13.0,11.0,29.0,10.0,16.0,0.0,0.0,0.0,3.0,93.9,57.1,0.0,0.0,466152.0,69379.0,27700.0,67052.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,Y,Feb-2018,BROKEN,Apr-2017,8887.8,46.91,23.0
68386637,,3500.0,3500.0,3500.0, 36 months,14.85,121.08,C,C5,Medical Staff coord,2 years,RENT,50000.0,Source Verified,2015-12-01,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68386637,,debt_consolidation,Debt consolidation,774xx,TX,16.39,1.0,Apr-2005,680.0,684.0,1.0,23.0,,14.0,0.0,5000.0,51.0,25.0,w,119.61,119.61,4296.47,4296.47,3380.39,916.08,0.0,0.0,0.0,Feb-2019,122.08,Apr-2019,Mar-2019,714.0,710.0,0.0,,1.0,Individual,,,,0.0,0.0,32109.0,3.0,5.0,1.0,2.0,4.0,27109.0,104.0,2.0,6.0,528.0,89.0,9800.0,1.0,0.0,5.0,8.0,2294.0,1322.0,49.2,0.0,0.0,128.0,93.0,2.0,2.0,0.0,2.0,23.0,3.0,23.0,0.0,4.0,8.0,4.0,4.0,15.0,9.0,10.0,9.0,14.0,0.0,0.0,0.0,3.0,96.0,0.0,0.0,0.0,35935.0,32109.0,2600.0,26135.0,,,,,,,,,,,,,,N,INTEREST ONLY-3 MONTHS DEFERRAL,NATURAL_DISASTER,COMPLETED,3.0,21.63,Sep-2017,Dec-2017,Sep-2017,3.0,0.0,Current,64.89,1755.4,120.76,Cash,N,,,,,,
68436340,,3600.0,3600.0,3600.0, 36 months,10.78,117.49,B,B4,Financial Advisor,7 years,MORTGAGE,39000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68436340,,credit_card,Credit card refinancing,606xx,IL,9.48,0.0,Jun-1987,765.0,769.0,0.0,,,4.0,0.0,18838.0,33.6,8.0,w,0.0,0.0,4224.024785761,4224.02,3600.0,624.02,0.0,0.0,0.0,Jan-2019,117.26,,Mar-2019,724.0,720.0,0.0,,1.0,Individual,,,,0.0,0.0,198329.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,14883.0,34.0,56000.0,0.0,1.0,0.0,0.0,49582.0,37162.0,33.6,0.0,0.0,,342.0,101.0,56.0,3.0,101.0,,,,0.0,2.0,2.0,3.0,4.0,0.0,3.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,100.0,33.3,0.0,0.0,250700.0,18838.0,56000.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68616285,,24000.0,24000.0,24000.0, 60 months,18.99,622.45,E,E1,sales manager,4 years,RENT,230000.0,Source Verified,2015-12-01,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68616285,,debt_consolidation,Debt consolidation,970xx,OR,14.44,0.0,Aug-2003,675.0,679.0,2.0,30.0,65.0,13.0,2.0,14966.0,39.7,65.0,w,0.0,0.0,20511.22,20511.22,10381.93,10098.17,31.12,0.0,0.0,Oct-2018,622.45,,Mar-2019,519.0,515.0,0.0,30.0,1.0,Individual,,,,0.0,0.0,102885.0,1.0,3.0,2.0,5.0,7.0,87919.0,89.0,3.0,11.0,5362.0,57.0,42100.0,2.0,9.0,6.0,16.0,8574.0,12837.0,43.0,0.0,0.0,118.0,148.0,1.0,1.0,5.0,1.0,,0.0,,1.0,2.0,3.0,4.0,18.0,22.0,9.0,36.0,3.0,13.0,0.0,0.0,0.0,5.0,98.3,25.0,1.0,1.0,160104.0,102885.0,19200.0,118004.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
