user_id,loan_status,real_name_verified,age,is_student,is_blacklisted,is_unhealthy_4g_user,network_age_months,last_payment_months_ago,last_payment_amount,avg_monthly_spending_6_months,current_bill_total,current_account_balance,has_outstanding_payment,call_fee_sensitivity,contacts_this_month,is_frequent_mall_visitor,avg_mall_visits_3_months,visited_fuzhou_cangshan_wanda,visited_fuzhou_sam_club,watched_movie,visited_scenic_spot,used_sports_facility,online_shopping_app_usage,logistics_app_usage,finance_app_usage,video_app_usage,airplane_app_usage,train_app_usage,travel_info_app_usage,credit_score,created_at,updated_at
1,Fully Paid,False,,True,False,False,1.0,,1601.37,122.07,3600.0,78735.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,710.0,2015-12-01,Dec-2017
2,Charged Off,False,,False,True,False,,15.0,321.74,321.74,10000.0,182684.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,680.0,2015-12-01,Aug-2017
3,Fully Paid,False,,False,False,False,,64.0,503.5,366.88,14000.0,38073.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,660.0,2015-12-01,May-2017
4,Current,True,,False,False,False,,,757.16,757.16,35000.0,474040.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,745.0,2015-12-01,Feb-2019
5,Fully Paid,True,,False,False,False,,74.0,304.07,152.77,4600.0,14395.0,False,,1.0,False,,False,False,False,False,False,,,,,,,,670.0,2015-12-01,Dec-2018
6,Fully Paid,True,,False,False,False,9.0,,386.61,386.81,9975.0,25019.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,685.0,2015-12-01,Jan-2019
7,Charged Off,False,,False,False,False,,24.0,497.96,497.96,19200.0,404337.0,False,,1.0,False,,False,False,False,False,False,,,,,,,,665.0,2015-12-01,Sep-2016
8,Current,False,,False,True,False,2.0,23.0,122.08,121.08,3500.0,32109.0,False,,1.0,False,,False,False,False,False,False,,,,,,,,680.0,2015-12-01,Feb-2019
9,Fully Paid,False,,False,False,False,7.0,,117.26,117.49,3600.0,198329.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,765.0,2015-12-01,Jan-2019
10,Charged Off,False,,False,False,False,4.0,30.0,622.45,622.45,24000.0,102885.0,False,,2.0,False,,False,False,False,False,False,,,,,,,,675.0,2015-12-01,Oct-2018
11,Current,False,,False,False,False,,55.0,558.32,558.32,24000.0,275996.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,670.0,2015-12-01,Feb-2019
12,Fully Paid,True,,False,False,False,,71.0,2122.25,480.99,14075.0,18582.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,675.0,2015-12-01,Nov-2017
13,Fully Paid,False,,False,False,False,,,3313.91,197.8,6000.0,92353.0,False,,1.0,False,,False,False,False,False,False,,,,,,,,690.0,2015-12-01,Aug-2017
14,Charged Off,False,,False,False,False,,,569.08,569.08,24000.0,121305.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,735.0,2015-12-01,Jan-2017
15,Fully Paid,False,,False,False,False,,,1952.53,652.7,20000.0,444522.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,660.0,2015-12-01,Nov-2018
16,Current,False,,False,False,False,3.0,79.0,246.33,246.33,10000.0,343207.0,False,,2.0,False,,False,False,False,False,False,,,,,,,,685.0,2015-12-01,Mar-2019
17,Fully Paid,False,,False,False,False,,47.0,15768.74,418.74,18000.0,147928.0,False,,1.0,False,,False,False,False,False,False,,,,,,,,710.0,2015-12-01,Dec-2016
18,Fully Paid,False,,False,True,False,2.0,14.0,553.45,318.79,10000.0,6663.0,False,,1.0,False,,False,False,False,False,False,,,,,,,,665.0,2015-12-01,Aug-2018
19,Charged Off,False,,False,False,False,9.0,,229.53,229.53,7200.0,16954.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,680.0,2015-12-01,May-2018
20,Fully Paid,True,,False,True,False,,,9772.79,363.36,10250.0,156068.0,False,,0.0,False,,False,False,False,False,False,,,,,,,,680.0,2015-12-01,May-2016
