user_id,loan_status,age,bank_cards_count,remote_transaction_months,internet_transaction_avg,financial_transaction_months,financial_transaction_avg_amount,max_loan_amount_180_days,min_loan_amount_180_days,apply_loan_company_number,created_at,updated_at
1,Fully Paid,,23.0,,,,4280.1895470053005,3600.0,3600.0,0.0,2015-12-01,Dec-2017
2,Charged Off,,8.0,,,15.0,6796.55,10000.0,10000.0,0.0,2015-12-01,Aug-2017
3,Fully Paid,,7.0,,,64.0,17138.8123921472,14000.0,14000.0,0.0,2015-12-01,May-2017
4,Current,,9.0,,,,26951.36,35000.0,35000.0,0.0,2015-12-01,Feb-2019
5,Fully Paid,,10.0,,,74.0,5498.248781160601,4600.0,4600.0,1.0,2015-12-01,Dec-2018
6,Fully Paid,,10.0,,,,13955.745953523,9975.0,9975.0,0.0,2015-12-01,Jan-2019
7,Charged Off,,16.0,,,24.0,5703.84,19200.0,19200.0,1.0,2015-12-01,Sep-2016
8,Current,,14.0,,,23.0,4296.47,3500.0,3500.0,1.0,2015-12-01,Feb-2019
9,Fully Paid,,4.0,,,,4224.024785761,3600.0,3600.0,0.0,2015-12-01,Jan-2019
10,Charged Off,,13.0,,,30.0,20511.22,24000.0,24000.0,2.0,2015-12-01,Oct-2018
11,Current,,20.0,,,55.0,21169.53,24000.0,24000.0,0.0,2015-12-01,Feb-2019
12,Fully Paid,,10.0,,,71.0,16695.693543471898,14075.0,14075.0,0.0,2015-12-01,Nov-2017
13,Fully Paid,,6.0,,,,6864.7381691714,6000.0,6000.0,1.0,2015-12-01,Aug-2017
14,Charged Off,,22.0,,,,19730.46,24000.0,24000.0,0.0,2015-12-01,Jan-2017
15,Fully Paid,,21.0,,,,23461.6940918244,20000.0,20000.0,0.0,2015-12-01,Nov-2018
16,Current,,29.0,,,79.0,9527.07,10000.0,10000.0,2.0,2015-12-01,Mar-2019
17,Fully Paid,,21.0,,,47.0,20241.9701741674,18000.0,18000.0,1.0,2015-12-01,Dec-2016
18,Fully Paid,,7.0,,,14.0,11302.8138018042,10000.0,10000.0,1.0,2015-12-01,Aug-2018
19,Charged Off,,8.0,,,,6417.67,7200.0,7200.0,0.0,2015-12-01,May-2018
20,Fully Paid,,12.0,,,,10853.42,10250.0,10250.0,0.0,2015-12-01,May-2016
21,Charged Off,,18.0,,,59.0,27468.1,35000.0,35000.0,0.0,2015-12-01,Nov-2017
22,Charged Off,,37.0,,,,14131.0,21000.0,21000.0,0.0,2015-12-01,Aug-2016
23,Fully Paid,,18.0,,,,6666.1163474290015,6000.0,6000.0,0.0,2015-12-01,Jan-2019
24,Fully Paid,,8.0,,,25.0,14574.3773573952,12000.0,12000.0,1.0,2015-12-01,Jan-2018
25,Fully Paid,,6.0,,,,8833.1564131361,8000.0,8000.0,0.0,2015-12-01,Oct-2017
26,Fully Paid,,26.0,,,,10058.96,10000.0,10000.0,1.0,2015-12-01,Feb-2016
27,Fully Paid,,23.0,,,,23084.6526014134,21000.0,21000.0,1.0,2015-12-01,Mar-2017
28,Fully Paid,,7.0,,,,5022.73,4800.0,4800.0,0.0,2015-12-01,Jun-2016
